content,rating,sentiment,original_content,segment_content,_class
沒有 免費 聽 了 只 剩 試聽,3,-0.3,沒有免費聽了只剩試聽,"[['沒有', '免費', '聽', '了', '只', '剩', '試聽']]",0
聲音 是 不 錯 可是 很少 現 在 流行 的 歌,2,0.5,聲音是不錯可是很少現在流行的歌,"[['聲音', '是', '不錯', '可是', '很少', '現在', '流行', '的', '歌']]",4
最 愛 必備 的 程式,5,0,最愛必備的程式,"[['最', '愛', '必備', '的', '程式']]",0
剛 下載 好 為什麼 都 不能 登錄 能不能 用 好 一點 在 給 我 我們 下載,1,0.025,剛下載好為什麼都不能登錄能不能用好一點在給我我們下載,"[['剛', '下載', '好', '為什麼', '都', '不能', '登錄', '能不能', '用', '好', '一點', '在', '給', '我', '我們', '下載']]",3
自從 更新 後邊 聽 歌 邊 使用 其他 應用 程式 時 會 一直 自動 閃退 無法 與 其他 一起 使用,3,-0.6,自從更新後邊聽歌邊使用其他應用程式時會一直自動閃退無法與其他一起使用,"[['自從', '更新', '後邊', '聽', '歌', '邊', '使用', '其他', '應用', '程式', '時', '會', '一直', '自動', '閃退', '無法', '與', '其他', '一起', '使用']]",0
不好意思 為什麼 有些 歌手 的 整 張 專輯 突然 下架 呢 聽完 一 次 後 要 聽 第二 次 後 就 顯示 未 授權 了 之前 都 還可以 聽 希望 能 趕快 重新 上架 這 個 專輯 就 整 個 下架 了,2,-0.25,不好意思為什麼有些歌手的整張專輯突然下架呢聽完一次後要聽第二次後就顯示未授權了之前都還可以聽希望能趕快重新上架這個專輯就整個下架了,"[['不好意思', '為什麼', '有些', '歌手', '的', '整', '張', '專輯', '突然', '下架', '呢', '聽完', '一', '次', '後', '要', '聽', '第二', '次', '後', '就', '顯示', '未', '授權', '了', '之前', '都', '還可以', '聽', '希望', '能', '趕快', '重新', '上架', '這', '個', '專輯', '就', '整', '個', '下架', '了']]",4
希望 可以 用 支付 寶付款,2,0,希望可以用支付寶付款,"[['希望', '可以', '用', '支付', '寶付款']]",4
旋轉 手機 閃退 的 問題 已 暫時 解決 希望 能 早日 確實 解決 改善 後 補 五星 評價,4,-0.2,旋轉手機閃退的問題已暫時解決希望能早日確實解決改善後補五星評價,"[['旋轉', '手機', '閃退', '的', '問題', '已', '暫時', '解決', '希望', '能', '早日', '確實', '解決', '改善', '後', '補', '五星', '評價']]",0
一 開起來 就 閃退 儲值 了 會員 卻 不能 用 讓 人 感覺 很 差,1,-0.45,一開起來就閃退儲值了會員卻不能用讓人感覺很差,"[['一', '開起來', '就', '閃退', '儲值', '了', '會員', '卻', '不能', '用', '讓', '人', '感覺', '很', '差']]",1
能 聽到 很多 不同 類型 的 歌曲 也 能 聽到 來自 其他 地區 第一手 的 新歌 發表,5,0,能聽到很多不同類型的歌曲也能聽到來自其他地區第一手的新歌發表,"[['能', '聽到', '很多', '不同', '類型', '的', '歌曲', '也', '能', '聽到', '來自', '其他', '地區', '第一手', '的', '新歌', '發表']]",0
沒 有的 進 不 到 就 很 煩,1,0,沒有的進不到就很煩,"[['沒有', '的', '進', '不', '到', '就', '很', '煩']]",4
人性化 設計,5,0,人性化設計,"[['人性化', '設計']]",0
我 是 使用 自從 最近 更新 後 便 開始 一直 閃退 希望 可以 改善,3,-0.55,我是使用自從最近更新後便開始一直閃退希望可以改善,"[['我', '是', '使用', '自從', '最近', '更新', '後', '便', '開始', '一直', '閃退', '希望', '可以', '改善']]",0
有 最 新 一 期 的 歌曲 方便 使用,4,0.2,有最新一期的歌曲方便使用,"[['有', '最', '新', '一', '期', '的', '歌曲', '方便', '使用']]",0
垃圾 垃圾 垃圾,1,-0.5,垃圾垃圾垃圾,"[['垃圾', '垃圾', '垃圾']]",4
最近 怎麼 常常 聽 一 聽 忽然 被 關掉 就 像 被 按 了 方塊鍵 一樣 重新 下載 還 是 一樣 手機 型號,4,-0.2,最近怎麼常常聽一聽忽然被關掉就像被按了方塊鍵一樣重新下載還是一樣手機型號,"[['最近', '怎麼', '常常', '聽', '一', '聽', '忽然', '被', '關掉', '就', '像', '被', '按', '了', '方塊鍵', '一樣', '重新', '下載', '還', '是', '一樣', '手機', '型號']]",0
這 個 是 登入 後天 過 了 就 要 付費 嗎,4,-0.1,這個是登入後天過了就要付費嗎,"[['這', '個', '是', '登入', '後天', '過', '了', '就', '要', '付費', '嗎']]",0
我 使用 更新 到 後 一直 不停 閃退 可以 麻煩 解決 嗎 感謝,4,-0.325,我使用更新到後一直不停閃退可以麻煩解決嗎感謝,"[['我', '使用', '更新', '到', '後', '一直', '不停', '閃退', '可以', '麻煩', '解決', '嗎', '感謝']]",0
我 覺 得 還 好 但是 可能 是 我 的 網絡 有 點爛 感覺 搜索 的 速度 有 點慢 而且 我 要 找 的 歌 有 些 不 是 原唱 希望 能不要 收費,3,0.3,我覺得還好但是可能是我的網絡有點爛感覺搜索的速度有點慢而且我要找的歌有些不是原唱希望能不要收費,"[['我', '覺得', '還好', '但是', '可能', '是', '我', '的', '網絡', '有點', '爛', '感覺', '搜索', '的', '速度', '有點', '慢', '而且', '我', '要', '找', '的', '歌', '有', '些', '不', '是', '原唱', '希望', '能不要', '收費']]",0
去 哦 就 啊 吃 開車 妻子 是 妳 吃 奶字 開車 哦 你 喔 吃 你 既 呢及 奶茶 嗯 褲子 可 拆 欸 幹雸 給 卡片 吃 欸 幹 詐欺 而 哭 喔 嘎 健康 呃 上課 喔 吃 你 賊 開機 你 賊 感覺 喔 開頭 喔喔 吃 哦 開車 喔 乃 拆 請教 喔 嘎嘎開 看 小姐 恩膏 擦開 高中 的 嗯 而 而 而 而 而 而 而已 五 看 欸 酷 哦 刺 欸 吃 欸 看過 哦 常常 哦 鐵閘 鐵閘 啊 您 喔 酷 哦 一 吃 米酒 牛仔褲 欸 吃 你 吃 哦 很 差 欸 哭宅 開車 哦 米 愛 嘎 之 天恩 烤翅 四 熱 用 行程 喔 可 草 你 吃 哦 課本 自殺 指 這 只 佔 欸 再見 小恩字 呢 宅配 他 至 阿哥 賊 現在 聽 你 進來 你 幹嘛 提及 黑市 開啟 喔 只 提供 而 拚排 啊 張 太太 之 門 按 該 感覺 喔 投資 喔 你 喔 誰 可 拆 機車 喔 可 起來 吃 妻子 米 欸 成功 因 引起 雸音 感爾 給 在 臺 內 資白癡 哦 他 欸 那 燒 內在 做 嘎 之 噴噴 在 跟去 欸 字 呢 吃 欸 愛 張 空間 偶爾 啊子 按咁 給 他 欸 買 的 套 汽車 擴音器 欸 字 呢 喔 吃 嫩口賊 談談 他 阿爾 跟 摸吃 嫩爾內 吃 他 誰 悶騷 網囊 此 漫畫 岑內 是 老總 牛仔 誒 尬 欸 日 吃 開頭 沉迷 引擎 金恩 則 在 各 民族 賠償 哦 拍 窄 欸 吃 過去 哦米 贓款 嫩模 去 哦 健康 阿爾 開車 欸 看見 啊 欸 吃 開心奧 此 乃 吃 你 喔 腦 算命 吃 欸 你 去 嗯 無名指 艾米 警方 及 你 喔 吃看 欸 磁卡 知識 欸 講 欸 抗 癌 噴 肝癌 太 昂 哦 今天 誒 怪 咖 愛 開機 賊星 欸 字 去 欸 字 開心 餓哭 是 妳 車 呢 及 看 欸 看 欸 警察 嘅 癡漢 感知 乾柴賊 可 草 看 現在 你 既 啤酒奶 迫切 啊 你 吃 欸 起 而 按照 太監 啊 他 只 聽見 喔 欸 字 開車 你 吃 哦 魔鏡 那 個 而 寶可夢,5,-0.2,去哦就啊吃開車妻子是妳吃奶字開車哦你喔吃你既呢及奶茶嗯褲子可拆欸幹雸給卡片吃欸幹詐欺而哭喔嘎健康呃上課喔吃你賊開機你賊感覺喔開頭喔喔吃哦開車喔乃拆請教喔嘎嘎開看小姐恩膏擦開高中的嗯而而而而而而而已五看欸酷哦刺欸吃欸看過哦常常哦鐵閘鐵閘啊您喔酷哦一吃米酒牛仔褲欸吃你吃哦很差欸哭宅開車哦米愛嘎之天恩烤翅四熱用行程喔可草你吃哦課本自殺指這只佔欸再見小恩字呢宅配他至阿哥賊現在聽你進來你幹嘛提及黑市開啟喔只提供而拚排啊張太太之門按該感覺喔投資喔你喔誰可拆機車喔可起來吃妻子米欸成功因引起雸音感爾給在臺內資白癡哦他欸那燒內在做嘎之噴噴在跟去欸字呢吃欸愛張空間偶爾啊子按咁給他欸買的套汽車擴音器欸字呢喔吃嫩口賊談談他阿爾跟摸吃嫩爾內吃他誰悶騷網囊此漫畫岑內是老總牛仔誒尬欸日吃開頭沉迷引擎金恩則在各民族賠償哦拍窄欸吃過去哦米贓款嫩模去哦健康阿爾開車欸看見啊欸吃開心奧此乃吃你喔腦算命吃欸你去嗯無名指艾米警方及你喔吃看欸磁卡知識欸講欸抗癌噴肝癌太昂哦今天誒怪咖愛開機賊星欸字去欸字開心餓哭是妳車呢及看欸看欸警察嘅癡漢感知乾柴賊可草看現在你既啤酒奶迫切啊你吃欸起而按照太監啊他只聽見喔欸字開車你吃哦魔鏡那個而寶可夢,"[['去', '哦', '就', '啊', '吃', '開車', '妻子', '是', '妳', '吃', '奶字', '開車', '哦', '你', '喔', '吃', '你', '既', '呢及', '奶茶', '嗯', '褲子', '可', '拆', '欸', '幹雸', '給', '卡片', '吃', '欸', '幹', '詐欺', '而', '哭', '喔', '嘎', '健康', '呃', '上課', '喔', '吃', '你', '賊', '開機', '你', '賊', '感覺', '喔', '開頭', '喔喔', '吃', '哦', '開車', '喔', '乃', '拆', '請教', '喔', '嘎嘎開', '看', '小姐', '恩膏', '擦開', '高中', '的', '嗯', '而', '而', '而', '而', '而', '而', '而已', '五', '看', '欸', '酷', '哦', '刺', '欸', '吃', '欸', '看過', '哦', '常常', '哦', '鐵閘', '鐵閘', '啊', '您', '喔', '酷', '哦', '一', '吃', '米酒', '牛仔褲', '欸', '吃', '你', '吃', '哦', '很', '差', '欸', '哭宅', '開車', '哦', '米', '愛', '嘎', '之', '天恩', '烤翅', '四', '熱', '用', '行程', '喔', '可', '草', '你', '吃', '哦', '課本', '自殺', '指', '這', '只', '佔', '欸', '再見', '小恩字', '呢', '宅配', '他', '至', '阿哥', '賊', '現在', '聽', '你', '進來', '你', '幹嘛', '提及', '黑市', '開啟', '喔', '只', '提供', '而', '拚排', '啊', '張', '太太', '之', '門', '按', '該', '感覺', '喔', '投資', '喔', '你', '喔', '誰', '可', '拆', '機車', '喔', '可', '起來', '吃', '妻子', '米', '欸', '成功', '因', '引起', '雸音', '感爾', '給', '在', '臺', '內', '資白癡', '哦', '他', '欸', '那', '燒', '內在', '做', '嘎', '之', '噴噴', '在', '跟去', '欸', '字', '呢', '吃', '欸', '愛', '張', '空間', '偶爾', '啊子', '按咁', '給', '他', '欸', '買', '的', '套', '汽車', '擴音器', '欸', '字', '呢', '喔', '吃', '嫩口賊', '談談', '他', '阿爾', '跟', '摸吃', '嫩爾內', '吃', '他', '誰', '悶騷', '網囊', '此', '漫畫', '岑內', '是', '老總', '牛仔', '誒', '尬', '欸', '日', '吃', '開頭', '沉迷', '引擎', '金恩', '則', '在', '各', '民族', '賠償', '哦', '拍', '窄', '欸', '吃', '過去', '哦米', '贓款', '嫩模', '去', '哦', '健康', '阿爾', '開車', '欸', '看見', '啊', '欸', '吃', '開心奧', '此', '乃', '吃', '你', '喔', '腦', '算命', '吃', '欸', '你', '去', '嗯', '無名指', '艾米', '警方', '及', '你', '喔', '吃看', '欸', '磁卡', '知識', '欸', '講', '欸', '抗', '癌', '噴', '肝癌', '太', '昂', '哦', '今天', '誒', '怪', '咖', '愛', '開機', '賊星', '欸', '字', '去', '欸', '字', '開心', '餓哭', '是', '妳', '車', '呢', '及', '看', '欸', '看', '欸', '警察', '嘅', '癡漢', '感知', '乾柴賊', '可', '草', '看', '現在', '你', '既', '啤酒奶', '迫切', '啊', '你', '吃', '欸', '起', '而', '按照', '太監', '啊', '他', '只', '聽見', '喔', '欸', '字', '開車', '你', '吃', '哦', '魔鏡', '那', '個', '而', '寶可夢']]",0
關起 手機 還 能 聽 音樂 是 個 很 棒 的 功能,5,0.5,關起手機還能聽音樂是個很棒的功能,"[['關起', '手機', '還', '能', '聽', '音樂', '是', '個', '很', '棒', '的', '功能']]",0
很 好用,5,0.4,很好用,"[['很', '好用']]",0
歌曲 豐富 但 希望 使用 介面 能 再 提高 可以 更 好看,3,0.5,歌曲豐富但希望使用介面能再提高可以更好看,"[['歌曲', '豐富', '但', '希望', '使用', '介面', '能', '再', '提高', '可以', '更', '好看']]",0
小 工具 有點 寒酸 不能 調 歌詞 大小 不能 播 手機 裡 的 還 有 為什麼 都 付 了 錢 還要 看 你 那些 討厭 的 廣告 莫名其妙 想 聽 的 都 變 未 授權 什麼 時候 上架 不 知道 付錢 的 時候 可以 聽 的 有沒有 在 維護 啊,1,-0.3375,小工具有點寒酸不能調歌詞大小不能播手機裡的還有為什麼都付了錢還要看你那些討厭的廣告莫名其妙想聽的都變未授權什麼時候上架不知道付錢的時候可以聽的有沒有在維護啊,"[['小', '工具', '有點', '寒酸', '不能', '調', '歌詞', '大小', '不能', '播', '手機', '裡', '的', '還', '有', '為什麼', '都', '付', '了', '錢', '還要', '看', '你', '那些', '討厭', '的', '廣告', '莫名其妙', '想', '聽', '的', '都', '變', '未', '授權', '什麼', '時候', '上架', '不', '知道', '付錢', '的', '時候', '可以', '聽', '的', '有沒有', '在', '維護', '啊']]",2
為什麼 我 聽 歌 聽到 一半 要 切回 上 一 首 歌 的 時候 它 會 先 跳回 原來 這 首 歌 的 開頭 然後 在 點 第二 次 上 一 首 歌 的 按鍵 才 能 切換 請 修復,4,-0.35,為什麼我聽歌聽到一半要切回上一首歌的時候它會先跳回原來這首歌的開頭然後在點第二次上一首歌的按鍵才能切換請修復,"[['為什麼', '我', '聽', '歌', '聽到', '一半', '要', '切回', '上', '一', '首', '歌', '的', '時候', '它', '會', '先', '跳回', '原來', '這', '首', '歌', '的', '開頭', '然後', '在', '點', '第二', '次', '上', '一', '首', '歌', '的', '按鍵', '才', '能', '切換', '請', '修復']]",0
很 流暢 很 好用,5,0.35,很流暢很好用,"[['很', '流暢', '很', '好用']]",0
不 知道 是 不 是 不 支援 每 一 款 手機 我 的 沒有 動態 歌詞,5,-0.3,不知道是不是不支援每一款手機我的沒有動態歌詞,"[['不', '知道', '是', '不', '是', '不', '支援', '每', '一', '款', '手機', '我', '的', '沒有', '動態', '歌詞']]",0
希望 可以 增加 歌曲 置頂 的 功能,4,0,希望可以增加歌曲置頂的功能,"[['希望', '可以', '增加', '歌曲', '置頂', '的', '功能']]",0
超級 好 神級,5,0.3,超級好神級,"[['超級', '好', '神級']]",0
我 的 手機 型號 是 最近 更新 後 只要 每 次 開啟 聽 歌 時 都 會 閃退 而且 已經 好幾 次 了 而且 每 次 重開 都 會 閃退 已經 連續 好幾 天 這樣 了 希望 你們 盡快 改進,2,-0.575,我的手機型號是最近更新後只要每次開啟聽歌時都會閃退而且已經好幾次了而且每次重開都會閃退已經連續好幾天這樣了希望你們盡快改進,"[['我', '的', '手機', '型號', '是', '最近', '更新', '後', '只要', '每', '次', '開啟', '聽', '歌', '時', '都', '會', '閃退', '而且', '已經', '好幾', '次', '了', '而且', '每', '次', '重開', '都', '會', '閃退', '已經', '連續', '好幾', '天', '這樣', '了', '希望', '你們', '盡快', '改進']]",1
請問 一定 要 付費 嗎,3,-0.1,請問一定要付費嗎,"[['請問', '一定', '要', '付費', '嗎']]",0
不 想 氪金 的 朋友們 就 到去 網址 是 的 站點 裡 找 一 進 遊戲 就 滿 的 版本 體驗 上線 就 送 頂級 裝備 遊戲 道具 全部 無限 使用 完全 的 不用 氪金 的 故事 情節 也 都 很 棒 謝謝 玩 過 很多 類似 的 遊戲 突然 有 相見 恨晚 發現 寶藏 的 感覺 別的 遊戲 都 是 一 關 就 要 一 顆 星星 這邊 是 只要 通關 就 可以 一直 玩 下去 而且 活動 很多 常常 會 有 無限 生命 的 活動 而且 很 好 得到 一點 都 不 小氣 讓 每 個 棲息地 都 有 升級 的 價值 製作 團隊 加油 遊戲 副本 非常 多 希望 可以 在 新增 其他 的 副本 真 是 個 簡單 有趣 又 耐玩 的 遊戲 很 棒 的 創意 在 這 個 沒 時間 玩 遊戲 又 想 打發 時間 的 最佳 選擇 加油 當然 更 希望 能 有 繁 中 然後 突然 到 了 右上角 的 傳送點 打怪 也 是 一樣 的 情況 怪物 沒有 血條 也 不會 死掉 開 自動 任務 擊殺 數量 會 慢慢 往 上 跑 但是 畫面 是 卡住 的 只有 怪物 會 跑 玩家 不會 動放 技能 也 沒 反應 當 完成 任務 的 擊殺數 時 畫面 會 直接 變成 在 傳送點 間 移動 然後 各 種 倒數 的 時間 應該 是 全票 唯一 個 保存 在 我 手機 裡 遊戲 可以 偶爾 動動 腦別 的 遊戲 都 是 一 關 就 要 一 顆 星星 真的 讓 人 愛不釋手 有種 親身 戀愛 的 感覺 第一 天 玩 就 瞬間 入 坑 了 現在 變成 了 一 位 白 太太 第一 次 對 一 個 遊戲 這麼 入迷 而且 給 的 福利 也 很 好 但 希望 臺版 更新 可以 快 一點 最後 只 能 說 這 款 遊戲 太 成功 了 不 下載 會 後悔 的 無可 否認 系統 仿 了 弓箭 傳說 但是 核心 體驗 相當 地 優秀 操作 簡單 快速 好 上手 打擊感 更 是 誇張 地 好玩 起來 通體 舒暢 爽翻天 不 誇張 這邊 是 只要 通關 就 可以 一直 玩下去 很 好玩 對於 氪金 發表 一點 看法 氪金 始終 無法 避免 如果 覺得 有 遊戲 應該 無氪 也 可以 當 區裏 數一數二 的 那 充 錢 還 有 什麼 用 或者 您 可以 選擇 來 免費 做 遊戲 做 不 好 被 罵 做好 了 被 催下 一 款 沒有 任何 回報 雖然 我 不 覺得 有 這 種 想法 的 人 能 做 一 款 好 遊戲 衝 著 和 情懷 選擇 這 個 遊戲 吐槽 這麼多 依舊 在 玩 也 是 希望 國漫 能夠 更 好 國漫 衍生品 也 會 越來越 好 只是 我 不 知道 這樣 的 期待 和 熱情 還 會,5,0.203030303,不想氪金的朋友們就到去網址是的站點裡找一進遊戲就滿的版本體驗上線就送頂級裝備遊戲道具全部無限使用完全的不用氪金的故事情節也都很棒謝謝玩過很多類似的遊戲突然有相見恨晚發現寶藏的感覺別的遊戲都是一關就要一顆星星這邊是隻要通關就可以一直玩下去而且活動很多常常會有無限生命的活動而且很好得到一點都不小氣讓每個棲息地都有升級的價值製作團隊加油遊戲副本非常多希望可以在新增其他的副本真是個簡單有趣又耐玩的遊戲很棒的創意在這個沒時間玩遊戲又想打發時間的最佳選擇加油當然更希望能有繁中然後突然到了右上角的傳送點打怪也是一樣的情況怪物沒有血條也不會死掉開自動任務擊殺數量會慢慢往上跑但是畫面是卡住的只有怪物會跑玩家不會動放技能也沒反應當完成任務的擊殺數時畫面會直接變成在傳送點間移動然後各種倒數的時間應該是全票唯一個保存在我手機裡遊戲可以偶爾動動腦別的遊戲都是一關就要一顆星星真的讓人愛不釋手有種親身戀愛的感覺第一天玩就瞬間入坑了現在變成了一位白太太第一次對一個遊戲這麼入迷而且給的福利也很好但希望臺版更新可以快一點最後只能說這款遊戲太成功了不下載會後悔的無可否認系統仿了弓箭傳說但是核心體驗相當地優秀操作簡單快速好上手打擊感更是誇張地好玩起來通體舒暢爽翻天不誇張這邊是隻要通關就可以一直玩下去很好玩對於氪金發表一點看法氪金始終無法避免如果覺得有遊戲應該無氪也可以當區裏數一數二的那充錢還有什麼用或者您可以選擇來免費做遊戲做不好被罵做好了被催下一款沒有任何回報雖然我不覺得有這種想法的人能做一款好遊戲衝著和情懷選擇這個遊戲吐槽這麼多依舊在玩也是希望國漫能夠更好國漫衍生品也會越來越好只是我不知道這樣的期待和熱情還會,"[['不', '想', '氪金', '的', '朋友們', '就', '到去', '網址', '是', '的', '站點', '裡', '找', '一', '進', '遊戲', '就', '滿', '的', '版本', '體驗', '上線', '就', '送', '頂級', '裝備', '遊戲', '道具', '全部', '無限', '使用', '完全', '的', '不用', '氪金', '的', '故事', '情節', '也', '都', '很', '棒', '謝謝', '玩', '過', '很多', '類似', '的', '遊戲', '突然', '有', '相見', '恨晚', '發現', '寶藏', '的', '感覺', '別的', '遊戲', '都', '是', '一', '關', '就', '要', '一', '顆', '星星', '這邊', '是', '隻', '要', '通關', '就', '可以', '一直', '玩', '下去', '而且', '活動', '很多', '常常', '會', '有', '無限', '生命', '的', '活動', '而且', '很', '好', '得到', '一點', '都', '不', '小氣', '讓', '每', '個', '棲息地', '都', '有', '升級', '的', '價值', '製作', '團隊', '加油', '遊戲', '副本', '非常', '多', '希望', '可以', '在', '新增', '其他', '的', '副本', '真', '是', '個', '簡單', '有趣', '又', '耐玩', '的', '遊戲', '很', '棒', '的', '創意', '在', '這', '個', '沒', '時間', '玩', '遊戲', '又', '想', '打發', '時間', '的', '最佳', '選擇', '加油', '當然', '更', '希望', '能', '有', '繁', '中', '然後', '突然', '到', '了', '右上角', '的', '傳送點', '打怪', '也', '是', '一樣', '的', '情況', '怪物', '沒有', '血條', '也', '不會', '死掉', '開', '自動', '任務', '擊殺', '數量', '會', '慢慢', '往', '上', '跑', '但是', '畫面', '是', '卡住', '的', '只有', '怪物', '會', '跑', '玩家', '不會', '動放', '技能', '也', '沒', '反應', '當', '完成', '任務', '的', '擊殺數', '時', '畫面', '會', '直接', '變成', '在', '傳送點', '間', '移動', '然後', '各', '種', '倒數', '的', '時間', '應該', '是', '全票', '唯一', '個', '保存', '在', '我', '手機', '裡', '遊戲', '可以', '偶爾', '動動', '腦別', '的', '遊戲', '都', '是', '一', '關', '就', '要', '一', '顆', '星星', '真的', '讓', '人', '愛不釋手', '有種', '親身', '戀愛', '的', '感覺', '第一', '天', '玩', '就', '瞬間', '入', '坑', '了', '現在', '變成', '了', '一', '位', '白', '太太', '第一', '次', '對', '一', '個', '遊戲', '這麼', '入迷', '而且', '給', '的', '福利', '也', '很', '好', '但', '希望', '臺版', '更新', '可以', '快', '一點', '最後', '只', '能', '說', '這', '款', '遊戲', '太', '成功', '了', '不', '下載', '會', '後悔', '的', '無可', '否認', '系統', '仿', '了', '弓箭', '傳說', '但是', '核心', '體驗', '相當', '地', '優秀', '操作', '簡單', '快速', '好', '上手', '打擊感', '更', '是', '誇張', '地', '好玩', '起來', '通體', '舒暢', '爽翻天', '不', '誇張', '這邊', '是', '隻', '要', '通關', '就', '可以', '一直', '玩下去', '很', '好玩', '對於', '氪金', '發表', '一點', '看法', '氪金', '始終', '無法', '避免', '如果', '覺得', '有', '遊戲', '應該', '無氪', '也', '可以', '當區', '裏', '數一數二', '的', '那', '充', '錢', '還', '有', '什麼', '用', '或者', '您', '可以', '選擇', '來', '免費', '做', '遊戲', '做', '不', '好', '被', '罵', '做好', '了', '被', '催下', '一', '款', '沒有', '任何', '回報', '雖然', '我', '不', '覺得', '有', '這', '種', '想法', '的', '人', '能', '做', '一', '款', '好', '遊戲', '衝', '著', '和', '情懷', '選擇', '這', '個', '遊戲', '吐槽', '這麼多', '依舊', '在', '玩', '也', '是', '希望', '國漫', '能夠', '更', '好', '國漫', '衍生品', '也', '會', '越來越', '好', '只是', '我', '不', '知道', '這樣', '的', '期待', '和', '熱情', '還', '會']]",0
簡單 明瞭 的 操作 方式 歌曲庫種 分類 清晰 數量 龐大 推薦 音樂 或 歌曲 目標 明確 真的 蠻 不錯,5,0.3666666667,簡單明瞭的操作方式歌曲庫種分類清晰數量龐大推薦音樂或歌曲目標明確真的蠻不錯,"[['簡單', '明瞭', '的', '操作', '方式', '歌曲庫種', '分類', '清晰', '數量', '龐大', '推薦', '音樂', '或', '歌曲', '目標', '明確', '真的', '蠻', '不錯']]",0
目前 在 最 新 版本 聽 歌 聽 一半 整 個 程式 跳掉 需要 重開 程式 重新 找 歌單 播 不到 一半 又 跳掉 一 首 歌 都 聽 不 完 是 發生 什麼 事情,3,-0.5,目前在最新版本聽歌聽一半整個程式跳掉需要重開程式重新找歌單播不到一半又跳掉一首歌都聽不完是發生什麼事情,"[['目前', '在', '最', '新', '版本', '聽', '歌', '聽', '一半', '整', '個', '程式', '跳掉', '需要', '重開', '程式', '重新', '找', '歌單', '播', '不到', '一半', '又', '跳掉', '一', '首', '歌', '都', '聽', '不', '完', '是', '發生', '什麼', '事情']]",0
更新 快 很 棒,5,0.5,更新快很棒,"[['更新', '快', '很', '棒']]",0
一 堆 翻唱 的 每 次 進去 要 聽 的 沒有 半 個 原 唱 搞屁 喔 爛 到 不行 不要 在 下載 了,1,-0.4333333333,一堆翻唱的每次進去要聽的沒有半個原唱搞屁喔爛到不行不要在下載了,"[['一', '堆', '翻唱', '的', '每', '次', '進去', '要', '聽', '的', '沒有', '半', '個', '原', '唱', '搞屁', '喔', '爛', '到', '不行', '不要', '在', '下載', '了']]",4
簡直 無得 頂連 屬於 真 香港人 既 歌 都 有 願 榮光 歸 香港,5,0,簡直無得頂連屬於真香港人既歌都有願榮光歸香港,"[['簡直', '無得', '頂連', '屬於', '真', '香港人', '既', '歌', '都', '有', '願', '榮光', '歸', '香港']]",0
離線 歌曲 共 為什麼 會 自動 刪 歌 哪些 歌 不能 聽 都 不用 顯示,1,-0.25,離線歌曲共為什麼會自動刪歌哪些歌不能聽都不用顯示,"[['離線', '歌曲', '共', '為什麼', '會', '自動', '刪', '歌', '哪些', '歌', '不能', '聽', '都', '不用', '顯示']]",4
音質 好 方便 使用,5,0.25,音質好方便使用,"[['音質', '好', '方便', '使用']]",0
